Period,Strategy,Sharpe,Ann_Return,MaxDD,Weeks,SE_Sharpe
Post-crisis,XGB Tuned,1.567392446359955,0.09672693521176239,-0.07657634319169888,248,0.06350006350009525
Post-crisis,LGB Tuned,1.23799508985718,0.08293611241675626,-0.07282158640237817,248,0.06350006350009525
Post-crisis,60/40,0.9522391739334909,0.07876411424227972,-0.0920328767730155,248,0.06350006350009525
Post-crisis,Equal Wt,0.4383548963348143,0.04308842155562998,-0.11487063901323008,248,0.06350006350009525
Pre-COVID,XGB Tuned,1.6463556188624457,0.09495773528375594,-0.05469888844867067,209,0.06917144638660747
Pre-COVID,LGB Tuned,2.173310135732187,0.11179692337749868,-0.0386641563426201,209,0.06917144638660747
Pre-COVID,60/40,1.2743638504776726,0.09490793454786513,-0.10100733258627648,209,0.06917144638660747
Pre-COVID,Equal Wt,1.1531795775297844,0.08959107974238475,-0.10959897779767803,209,0.06917144638660747
COVID,XGB Tuned,1.1968172437152782,0.1836419765527864,-0.1186607835665123,52,0.1386750490563073
COVID,LGB Tuned,0.9573968736357862,0.13517587649875473,-0.12443973760362764,52,0.1386750490563073
COVID,60/40,0.6033368048424487,0.1265354658106879,-0.21671705421323526,52,0.1386750490563073
COVID,Equal Wt,0.5765657592911321,0.13893518051062134,-0.24125390198320437,52,0.1386750490563073
Inflación,XGB Tuned,-0.04075850689075656,-0.00396930676303315,-0.14830780595134105,105,0.09759000729485333
Inflación,LGB Tuned,-0.2582409205120183,-0.023217936271282356,-0.19598349576925111,105,0.09759000729485333
Inflación,60/40,-0.059617818750256284,-0.007129724045232877,-0.20673879498763229,105,0.09759000729485333
Inflación,Equal Wt,-0.29327548919065877,-0.03588540924272014,-0.24209440882141559,105,0.09759000729485333
Recuperación,XGB Tuned,2.633105178214897,0.203326334080837,-0.05695963353033328,164,0.07808688094430304
Recuperación,LGB Tuned,2.3098771734418384,0.18923558915109184,-0.06620331101460883,164,0.07808688094430304
Recuperación,60/40,1.462603780143602,0.1325221537915499,-0.09638205450462049,164,0.07808688094430304
Recuperación,Equal Wt,1.5072967011312588,0.14592909463222087,-0.08920070160397288,164,0.07808688094430304
